timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-11-03T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-11-03T00:04:00.000Z";"2024-11-03T15:47:00.000Z";"2781";0.1593156109;0.1596268172;0.1428225283;0.1514539467;2214868457.56;22209728524.57;"2024-11-03T23:59:59.999Z"
"2024-11-02T00:00:00.000Z";"2024-11-02T23:59:59.999Z";"2024-11-02T02:30:00.000Z";"2024-11-02T15:13:00.000Z";"2781";0.1591894054;0.1632980605;0.1560348035;0.1593156109;1342216649.16;23360406035.08;"2024-11-02T23:59:59.999Z"
"2024-11-01T00:00:00.000Z";"2024-11-01T23:59:59.999Z";"2024-11-01T14:14:00.000Z";"2024-11-01T07:17:00.000Z";"2781";0.1613720051;0.1682423249;0.1544202869;0.1591848607;2406203136.21;23339038998.57;"2024-11-01T23:59:59.999Z"
"2024-10-31T00:00:00.000Z";"2024-10-31T23:59:59.999Z";"2024-10-31T10:51:00.000Z";"2024-10-31T21:04:00.000Z";"2781";0.168146155;0.1729968579;0.1565456783;0.1613718333;2213630994.68;23657511070.52;"2024-10-31T23:59:59.999Z"
"2024-10-30T00:00:00.000Z";"2024-10-30T23:59:59.999Z";"2024-10-30T06:11:00.000Z";"2024-10-30T16:03:00.000Z";"2781";0.1758394816;0.1775350977;0.165250387;0.168146155;2319205432.76;24648305482.37;"2024-10-30T23:59:59.999Z"
"2024-10-29T00:00:00.000Z";"2024-10-29T23:59:59.999Z";"2024-10-29T16:49:00.000Z";"2024-10-29T00:10:00.000Z";"2781";0.1611517932;0.1792265197;0.1608260915;0.1758387441;3785378329.64;25773524594.18;"2024-10-29T23:59:59.999Z"
"2024-10-28T00:00:00.000Z";"2024-10-28T23:59:59.999Z";"2024-10-28T23:43:00.000Z";"2024-10-28T01:30:00.000Z";"2781";0.1443111558;0.1620104399;0.1411762691;0.1611502023;3078140198.56;23618356780.52;"2024-10-28T23:59:59.999Z"
"2024-10-27T00:00:00.000Z";"2024-10-27T23:59:59.999Z";"2024-10-27T23:21:00.000Z";"2024-10-27T01:25:00.000Z";"2781";0.1373570997;0.1458568217;0.1360573378;0.144311944;1129296560.02;21148427033.48;"2024-10-27T23:59:59.999Z"
"2024-10-26T00:00:00.000Z";"2024-10-26T23:59:59.999Z";"2024-10-26T17:37:00.000Z";"2024-10-26T00:07:00.000Z";"2781";0.1310130451;0.1378312481;0.1308393151;0.1373570997;947921668.95;20127138178.27;"2024-10-26T23:59:59.999Z"
"2024-10-25T00:00:00.000Z";"2024-10-25T23:59:59.999Z";"2024-10-25T00:23:00.000Z";"2024-10-25T23:25:00.000Z";"2781";0.1419880672;0.142399507;0.128547758;0.1310130451;1458877963.81;19196017794.98;"2024-10-25T23:59:59.999Z"
"2024-10-24T00:00:00.000Z";"2024-10-24T23:59:59.999Z";"2024-10-24T21:25:00.000Z";"2024-10-24T09:07:00.000Z";"2781";0.1399006369;0.1435020279;0.1364499753;0.1419866231;1349772911.8;20801954170.05;"2024-10-24T23:59:59.999Z"
"2024-10-23T00:00:00.000Z";"2024-10-23T23:59:59.999Z";"2024-10-23T06:43:00.000Z";"2024-10-23T18:08:00.000Z";"2781";0.13951063;0.1406042079;0.133279049;0.1384974581;1430747358.97;20288781597.99;"2024-10-23T23:59:59.999Z"
"2024-10-22T00:00:00.000Z";"2024-10-22T23:59:59.999Z";"2024-10-22T02:13:00.000Z";"2024-10-22T17:03:00.000Z";"2781";0.1436901436;0.1478829475;0.1368475193;0.1395078914;1647303197.64;20435382643.74;"2024-10-22T23:59:59.999Z"
"2024-10-21T00:00:00.000Z";"2024-10-21T23:59:59.999Z";"2024-10-21T06:25:00.000Z";"2024-10-21T16:29:00.000Z";"2781";0.1420838818;0.1495332498;0.1384328205;0.1436901436;2075196142.2;21045626660.77;"2024-10-21T23:59:59.999Z"
"2024-10-20T00:00:00.000Z";"2024-10-20T23:59:59.999Z";"2024-10-20T00:12:00.000Z";"2024-10-20T13:16:00.000Z";"2781";0.1445261205;0.1452458058;0.137577114;0.1420825397;1456913936.72;20808416988.17;"2024-10-20T23:59:59.999Z"
"2024-10-19T00:00:00.000Z";"2024-10-19T23:59:59.999Z";"2024-10-19T23:28:00.000Z";"2024-10-19T00:01:00.000Z";"2781";0.1372125326;0.1465441587;0.1371899858;0.1445269059;1898579280.29;21164101056.59;"2024-10-19T23:59:59.999Z"
"2024-10-18T00:00:00.000Z";"2024-10-18T23:59:59.999Z";"2024-10-18T17:09:00.000Z";"2024-10-18T00:18:00.000Z";"2781";0.1296597782;0.1405272967;0.1296473528;0.1372125326;2216997634.62;20091222471.18;"2024-10-18T23:59:59.999Z"
"2024-10-17T00:00:00.000Z";"2024-10-17T23:59:59.999Z";"2024-10-17T21:25:00.000Z";"2024-10-17T14:38:00.000Z";"2781";0.1257728945;0.1306493251;0.1207615683;0.1296583089;1557107116.6;18983516175.33;"2024-10-17T23:59:59.999Z"
"2024-10-16T00:00:00.000Z";"2024-10-16T23:59:59.999Z";"2024-10-16T20:50:00.000Z";"2024-10-16T01:15:00.000Z";"2781";0.1175247696;0.1294436242;0.1159310318;0.1257727063;2270276586.21;18412712352.16;"2024-10-16T23:59:59.999Z"
"2024-10-15T00:00:00.000Z";"2024-10-15T23:59:59.999Z";"2024-10-15T00:28:00.000Z";"2024-10-15T15:10:00.000Z";"2781";0.116653846;0.1187918186;0.110511788;0.1175268176;1367247373.39;17203592660.92;"2024-10-15T23:59:59.999Z"
"2024-10-14T00:00:00.000Z";"2024-10-14T23:59:59.999Z";"2024-10-14T23:02:00.000Z";"2024-10-14T02:08:00.000Z";"2781";0.1113357708;0.1174559213;0.1094292381;0.116653846;1038038455.24;17074515702.7;"2024-10-14T23:59:59.999Z"
"2024-10-13T00:00:00.000Z";"2024-10-13T23:59:59.999Z";"2024-10-13T00:46:00.000Z";"2024-10-13T15:31:00.000Z";"2781";0.1114157844;0.1120046349;0.1087990126;0.1113356517;573648912.85;16294580844.2;"2024-10-13T23:59:59.999Z"
"2024-10-12T00:00:00.000Z";"2024-10-12T23:59:59.999Z";"2024-10-12T11:25:00.000Z";"2024-10-12T03:30:00.000Z";"2781";0.1107330672;0.1120580442;0.1094567453;0.1114161535;519024337.99;16304771549.23;"2024-10-12T23:59:59.999Z"
"2024-10-11T00:00:00.000Z";"2024-10-11T23:59:59.999Z";"2024-10-11T21:37:00.000Z";"2024-10-11T01:38:00.000Z";"2781";0.1059797914;0.1113435292;0.1057021384;0.1107330672;650490847.35;16203356714.08;"2024-10-11T23:59:59.999Z"
"2024-10-10T00:00:00.000Z";"2024-10-10T23:59:59.999Z";"2024-10-10T05:55:00.000Z";"2024-10-10T18:11:00.000Z";"2781";0.1079374814;0.1084502475;0.1033075052;0.1059797914;749185962.84;15506352255.03;"2024-10-10T23:59:59.999Z"
"2024-10-09T00:00:00.000Z";"2024-10-09T23:59:59.999Z";"2024-10-09T15:28:00.000Z";"2024-10-09T21:02:00.000Z";"2781";0.1070442115;0.1111318378;0.1063772752;0.1079385699;667785122.65;15791356756.64;"2024-10-09T23:59:59.999Z"
