timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-28T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-10-29T17:09:00.000Z";"2024-11-03T15:10:00.000Z";"2781";1.0175228611;1.0780824031;0.8456497057;0.8853587408;1041551938.4;1195324616.96;"2024-11-03T23:59:59.999Z"
"2024-10-21T00:00:00.000Z";"2024-10-27T23:59:59.999Z";"2024-10-24T02:46:00.000Z";"2024-10-25T23:26:00.000Z";"2781";0.9732010026;1.1107620029;0.9121880074;1.0175087692;1365623761.21;1373655862.48;"2024-10-27T23:59:59.999Z"
"2024-10-14T00:00:00.000Z";"2024-10-20T23:59:59.999Z";"2024-10-20T22:58:00.000Z";"2024-10-14T00:53:00.000Z";"2781";0.7943057752;0.9815563549;0.7896647429;0.9808728022;852017258.57;1324173683.32;"2024-10-20T23:59:59.999Z"
"2024-10-07T00:00:00.000Z";"2024-10-13T23:59:59.999Z";"2024-10-07T14:43:00.000Z";"2024-10-10T18:29:00.000Z";"2781";0.7894151563;0.8146722678;0.7059158519;0.7943057752;458978464.94;1072312796.5;"2024-10-13T23:59:59.999Z"
"2024-09-30T00:00:00.000Z";"2024-10-06T23:59:59.999Z";"2024-09-30T01:36:00.000Z";"2024-10-03T15:44:00.000Z";"2781";0.9184634777;0.923047325;0.7239375597;0.7894151563;543982182.88;1065710460.99;"2024-10-06T23:59:59.999Z"
"2024-09-23T00:00:00.000Z";"2024-09-29T23:59:59.999Z";"2024-09-27T15:23:00.000Z";"2024-09-23T21:23:00.000Z";"2781";0.8251570227;0.9645884557;0.8034947693;0.9184634777;790157540.05;1239925694.85;"2024-09-29T23:59:59.999Z"
"2024-09-16T00:00:00.000Z";"2024-09-22T23:59:59.999Z";"2024-09-20T06:58:00.000Z";"2024-09-18T15:49:00.000Z";"2781";0.7327754045;0.8907804447;0.7063575415;0.8251570227;501319683.28;1113961980.65;"2024-09-22T23:59:59.999Z"
"2024-09-09T00:00:00.000Z";"2024-09-15T23:59:59.999Z";"2024-09-14T04:40:00.000Z";"2024-09-09T05:55:00.000Z";"2781";0.7086617436;0.7900151028;0.6960017688;0.7327754045;454005325.64;989246796.03;"2024-09-15T23:59:59.999Z"
"2024-09-02T00:00:00.000Z";"2024-09-08T23:59:59.999Z";"2024-09-03T02:23:00.000Z";"2024-09-06T21:04:00.000Z";"2781";0.7062777654;0.7575154649;0.6615091372;0.7086617436;454714579.87;956693353.91;"2024-09-08T23:59:59.999Z"
"2024-08-26T00:00:00.000Z";"2024-09-01T23:59:59.999Z";"2024-08-26T10:49:00.000Z";"2024-09-01T23:16:00.000Z";"2781";0.8867961347;0.9252998848;0.7040918504;0.7062777654;603955269.63;953474983.26;"2024-09-01T23:59:59.999Z"
"2024-08-19T00:00:00.000Z";"2024-08-25T23:59:59.999Z";"2024-08-24T18:34:00.000Z";"2024-08-19T11:31:00.000Z";"2781";0.7639700501;0.9449157479;0.7431627617;0.8867948081;487323987.31;1197174781.91;"2024-08-25T23:59:59.999Z"
"2024-08-12T00:00:00.000Z";"2024-08-18T23:59:59.999Z";"2024-08-12T14:43:00.000Z";"2024-08-16T17:25:00.000Z";"2781";0.7866710221;0.8452083772;0.7265715308;0.7639700501;505291452.4;1031359567.66;"2024-08-18T23:59:59.999Z"
"2024-08-05T00:00:00.000Z";"2024-08-11T23:59:59.999Z";"2024-08-08T23:58:00.000Z";"2024-08-05T13:31:00.000Z";"2781";0.8221364405;0.913185395;0.6613411724;0.7866710221;1290438536.8;1062005879.88;"2024-08-11T23:59:59.999Z"
"2024-07-29T00:00:00.000Z";"2024-08-04T23:59:59.999Z";"2024-07-29T05:41:00.000Z";"2024-08-04T17:46:00.000Z";"2781";1.1195916229;1.220753363;0.774218436;0.8221364405;1037478636.96;1109884194.64;"2024-08-04T23:59:59.999Z"
"2024-07-22T00:00:00.000Z";"2024-07-28T23:59:59.999Z";"2024-07-27T09:28:00.000Z";"2024-07-25T20:17:00.000Z";"2781";1.0860370552;1.1779116234;0.9244147552;1.1195753452;999663144.8;1511448690.98;"2024-07-28T23:59:59.999Z"
"2024-07-15T00:00:00.000Z";"2024-07-21T23:59:59.999Z";"2024-07-21T23:28:00.000Z";"2024-07-15T00:18:00.000Z";"2781";0.8212946376;1.0902229591;0.8161011989;1.0860275304;993190207.46;1466150024.47;"2024-07-21T23:59:59.999Z"
"2024-07-08T00:00:00.000Z";"2024-07-14T23:59:59.999Z";"2024-07-14T22:02:00.000Z";"2024-07-08T01:26:00.000Z";"2781";0.6902600777;0.8269868258;0.6623102947;0.8212340306;678524784.81;1108665941.27;"2024-07-14T23:59:59.999Z"
"2024-07-01T00:00:00.000Z";"2024-07-07T23:59:59.999Z";"2024-07-03T00:22:00.000Z";"2024-07-05T04:21:00.000Z";"2781";0.8187392229;0.8895895682;0.6418460193;0.6902860197;1022747682.32;931886126.58;"2024-07-07T23:59:59.999Z"
"2024-06-24T00:00:00.000Z";"2024-06-30T23:59:59.999Z";"2024-06-27T14:29:00.000Z";"2024-06-24T09:38:00.000Z";"2781";0.7345014605;0.8873876363;0.7033811772;0.8188967319;748544312.59;1105510588.13;"2024-06-30T23:59:59.999Z"
"2024-06-17T00:00:00.000Z";"2024-06-23T23:59:59.999Z";"2024-06-17T00:42:00.000Z";"2024-06-18T19:36:00.000Z";"2781";0.9272114667;0.9343545198;0.7072706082;0.7344847585;781565643.59;991554424.01;"2024-06-23T23:59:59.999Z"
"2024-06-10T00:00:00.000Z";"2024-06-16T23:59:59.999Z";"2024-06-10T01:46:00.000Z";"2024-06-14T18:27:00.000Z";"2781";1.0094324519;1.0122166421;0.8385969797;0.9273859791;636420719.47;1251971071.75;"2024-06-16T23:59:59.999Z"
"2024-06-03T00:00:00.000Z";"2024-06-09T23:59:59.999Z";"2024-06-05T02:36:00.000Z";"2024-06-09T03:28:00.000Z";"2781";1.065266688;1.1811638725;0.9598780074;1.0096204493;676855941.66;1362987606.57;"2024-06-09T23:59:59.999Z"
"2024-05-27T00:00:00.000Z";"2024-06-02T23:59:59.999Z";"2024-05-29T06:31:00.000Z";"2024-06-02T20:22:00.000Z";"2781";1.1143783423;1.2150288987;1.053860824;1.065266688;757949897.62;1438110028.82;"2024-06-02T23:59:59.999Z"
"2024-05-20T00:00:00.000Z";"2024-05-26T23:59:59.999Z";"2024-05-20T20:00:00.000Z";"2024-05-24T08:29:00.000Z";"2781";1.1705728469;1.2851381185;1.0880990655;1.1143762645;1100967443.56;1504410762.11;"2024-05-26T23:59:59.999Z"
"2024-05-13T00:00:00.000Z";"2024-05-19T23:59:59.999Z";"2024-05-18T09:56:00.000Z";"2024-05-15T00:50:00.000Z";"2781";1.0580416665;1.3192633104;1.0026014104;1.1706024862;1219513698.19;1580313356.43;"2024-05-19T23:59:59.999Z"
"2024-05-06T00:00:00.000Z";"2024-05-12T23:59:59.999Z";"2024-05-06T10:15:00.000Z";"2024-05-09T11:05:00.000Z";"2781";1.0672384034;1.1867652915;1.0111239303;1.0580408613;957792010.61;1428356249.8;"2024-05-12T23:59:59.999Z"
"2024-04-29T00:00:00.000Z";"2024-05-05T23:59:59.999Z";"2024-05-04T11:03:00.000Z";"2024-05-01T08:25:00.000Z";"2781";0.9992739291;1.1000805642;0.8549245794;1.0672388416;1007991620.15;1440771844.59;"2024-05-05T23:59:59.999Z"
"2024-04-22T00:00:00.000Z";"2024-04-28T23:59:59.999Z";"2024-04-24T12:11:00.000Z";"2024-04-27T01:20:00.000Z";"2781";1.1529318958;1.2261210743;0.9456730905;0.999273982;1050965075.15;1349019875.66;"2024-04-28T23:59:59.999Z"
"2024-04-15T00:00:00.000Z";"2024-04-21T23:59:59.999Z";"2024-04-21T11:21:00.000Z";"2024-04-16T16:26:00.000Z";"2781";1.1051085468;1.2137620774;0.9028961307;1.1529402917;1558287734.54;1556469393.82;"2024-04-21T23:59:59.999Z"
"2024-04-08T00:00:00.000Z";"2024-04-14T23:59:59.999Z";"2024-04-08T10:49:00.000Z";"2024-04-13T20:10:00.000Z";"2781";1.397387468;1.4896216232;0.7968540059;1.1050934657;2156438610.7;1491876178.7;"2024-04-14T23:59:59.999Z"
"2024-04-01T00:00:00.000Z";"2024-04-07T23:59:59.999Z";"2024-04-01T04:17:00.000Z";"2024-04-05T12:08:00.000Z";"2781";1.7448442973;1.8395646166;1.2886555849;1.3973944408;3115692099.05;1886473081.85;"2024-04-07T23:59:59.999Z"
"2024-03-25T00:00:00.000Z";"2024-03-31T23:59:59.999Z";"2024-03-31T23:37:00.000Z";"2024-03-28T12:58:00.000Z";"2781";1.292369915;1.7820213349;1.2442569601;1.7449542629;2503833200.49;2355539801.36;"2024-03-31T23:59:59.999Z"
"2024-03-18T00:00:00.000Z";"2024-03-24T23:59:59.999Z";"2024-03-18T13:14:00.000Z";"2024-03-20T05:28:00.000Z";"2781";1.4081823275;1.5959880656;1.05826405;1.2923376714;3398192775.2;1744655856.35;"2024-03-24T23:59:59.999Z"
