timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-28T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-10-29T16:52:00.000Z";"2024-11-03T15:28:00.000Z";"2781";1.5627512739;1.8057331698;1.2339951625;1.3802512661;1305087595.71;1352583993.45;"2024-11-03T23:59:59.999Z"
"2024-10-21T00:00:00.000Z";"2024-10-27T23:59:59.999Z";"2024-10-24T04:50:00.000Z";"2024-10-21T13:56:00.000Z";"2781";1.367260155;1.6694782193;1.2726323507;1.5627512739;1117004591.81;1531454342.62;"2024-10-27T23:59:59.999Z"
"2024-10-14T00:00:00.000Z";"2024-10-20T23:59:59.999Z";"2024-10-14T14:51:00.000Z";"2024-10-17T07:22:00.000Z";"2781";1.3746581614;1.4851157278;1.1818788217;1.3911889042;790468880.05;1363501848.1;"2024-10-20T23:59:59.999Z"
"2024-10-07T00:00:00.000Z";"2024-10-13T23:59:59.999Z";"2024-10-12T13:17:00.000Z";"2024-10-10T18:02:00.000Z";"2781";1.3993674363;1.543452899;1.1161375778;1.3746581614;1090401467.68;1347128136.22;"2024-10-13T23:59:59.999Z"
"2024-09-30T00:00:00.000Z";"2024-10-06T23:59:59.999Z";"2024-10-06T15:40:00.000Z";"2024-10-02T19:23:00.000Z";"2781";0.9887577868;1.4449258242;0.9062965183;1.399424123;1101660927.47;1371398114.4;"2024-10-06T23:59:59.999Z"
"2024-09-23T00:00:00.000Z";"2024-09-29T23:59:59.999Z";"2024-09-26T17:10:00.000Z";"2024-09-23T00:18:00.000Z";"2781";0.8933201224;1.0797069183;0.8684113512;0.9887577868;778702262.15;968956117.11;"2024-09-29T23:59:59.999Z"
"2024-09-16T00:00:00.000Z";"2024-09-22T23:59:59.999Z";"2024-09-20T06:58:00.000Z";"2024-09-18T15:49:00.000Z";"2781";0.6910376569;0.9592046629;0.6555898874;0.8933623713;747740303.62;875429765.21;"2024-09-22T23:59:59.999Z"
"2024-09-09T00:00:00.000Z";"2024-09-15T23:59:59.999Z";"2024-09-13T19:37:00.000Z";"2024-09-09T05:13:00.000Z";"2781";0.5382906793;0.7518233261;0.5254939779;0.6910253421;972667291.14;677198373.35;"2024-09-15T23:59:59.999Z"
"2024-09-02T00:00:00.000Z";"2024-09-08T23:59:59.999Z";"2024-09-03T02:16:00.000Z";"2024-09-06T21:04:00.000Z";"2781";0.5359571915;0.6288000369;0.4659524067;0.5382906793;627938149;527510431.25;"2024-09-08T23:59:59.999Z"
"2024-08-26T00:00:00.000Z";"2024-09-01T23:59:59.999Z";"2024-08-26T11:35:00.000Z";"2024-09-01T14:31:00.000Z";"2781";0.7607568297;0.7779884745;0.5233621216;0.5359571915;598829142.35;525223675.81;"2024-09-01T23:59:59.999Z"
"2024-08-19T00:00:00.000Z";"2024-08-25T23:59:59.999Z";"2024-08-25T21:38:00.000Z";"2024-08-19T14:23:00.000Z";"2781";0.4062149821;0.8047785914;0.3835378768;0.7607568297;717187733.18;745521293.15;"2024-08-25T23:59:59.999Z"
"2024-08-12T00:00:00.000Z";"2024-08-18T23:59:59.999Z";"2024-08-12T14:43:00.000Z";"2024-08-18T04:52:00.000Z";"2781";0.5370174334;0.6048115225;0.3968149581;0.4062149821;404405945.47;398079789.61;"2024-08-18T23:59:59.999Z"
"2024-08-05T00:00:00.000Z";"2024-08-11T23:59:59.999Z";"2024-08-09T07:23:00.000Z";"2024-08-05T06:45:00.000Z";"2781";0.4716926079;0.6698814798;0.2587546569;0.53701602;932095652.45;526261299.29;"2024-08-11T23:59:59.999Z"
"2024-07-29T00:00:00.000Z";"2024-08-04T23:59:59.999Z";"2024-07-29T05:43:00.000Z";"2024-08-04T17:12:00.000Z";"2781";0.7862977029;0.8751210114;0.4108024162;0.4716926079;449040918.76;462246107.15;"2024-08-04T23:59:59.999Z"
"2024-07-22T00:00:00.000Z";"2024-07-28T23:59:59.999Z";"2024-07-22T00:00:00.000Z";"2024-07-25T14:11:00.000Z";"2781";0.9657491035;0.9657983464;0.7433811457;0.7862977029;465370860.87;770550663.94;"2024-07-28T23:59:59.999Z"
"2024-07-15T00:00:00.000Z";"2024-07-21T23:59:59.999Z";"2024-07-21T15:07:00.000Z";"2024-07-15T00:18:00.000Z";"2781";0.6112141718;0.9975869884;0.6013259434;0.9657491035;802811227.47;946408224.53;"2024-07-21T23:59:59.999Z"
"2024-07-08T00:00:00.000Z";"2024-07-14T23:59:59.999Z";"2024-07-14T22:23:00.000Z";"2024-07-08T01:07:00.000Z";"2781";0.3953189727;0.635986441;0.3690145024;0.6111666722;483213333.58;598926950.04;"2024-07-14T23:59:59.999Z"
"2024-07-01T00:00:00.000Z";"2024-07-07T23:59:59.999Z";"2024-07-01T03:30:00.000Z";"2024-07-05T03:02:00.000Z";"2781";0.6452410442;0.7071183242;0.3519258214;0.3958088197;523390480.93;387882029.52;"2024-07-07T23:59:59.999Z"
"2024-06-24T00:00:00.000Z";"2024-06-30T23:59:59.999Z";"2024-06-29T14:08:00.000Z";"2024-06-24T09:33:00.000Z";"2781";0.2625081347;0.6712155639;0.2434695671;0.6462356141;561222968.15;633293572.73;"2024-06-30T23:59:59.999Z"
"2024-06-17T00:00:00.000Z";"2024-06-23T23:59:59.999Z";"2024-06-17T05:29:00.000Z";"2024-06-18T19:17:00.000Z";"2781";0.3108096718;0.3177497293;0.217340147;0.262501126;266202591.14;257244064.39;"2024-06-23T23:59:59.999Z"
"2024-06-10T00:00:00.000Z";"2024-06-16T23:59:59.999Z";"2024-06-10T16:55:00.000Z";"2024-06-14T19:55:00.000Z";"2781";0.3876424334;0.3987423192;0.2413607488;0.3106669942;219324404.44;304445323.61;"2024-06-16T23:59:59.999Z"
"2024-06-03T00:00:00.000Z";"2024-06-09T23:59:59.999Z";"2024-06-05T16:17:00.000Z";"2024-06-07T18:11:00.000Z";"2781";0.4159907583;0.5310238187;0.3378940678;0.3876880096;307931810.64;379923853.4;"2024-06-09T23:59:59.999Z"
"2024-05-27T00:00:00.000Z";"2024-06-02T23:59:59.999Z";"2024-05-29T13:21:00.000Z";"2024-06-02T09:41:00.000Z";"2781";0.4440197083;0.5566187938;0.3697631924;0.4159907583;355408362.43;407659788.18;"2024-06-02T23:59:59.999Z"
"2024-05-20T00:00:00.000Z";"2024-05-26T23:59:59.999Z";"2024-05-26T00:55:00.000Z";"2024-05-22T14:01:00.000Z";"2781";0.362636678;0.5011142624;0.3525437808;0.4440197083;382120464.22;435127407.52;"2024-05-26T23:59:59.999Z"
"2024-05-13T00:00:00.000Z";"2024-05-19T23:59:59.999Z";"2024-05-14T13:38:00.000Z";"2024-05-19T19:53:00.000Z";"2781";0.4149209774;0.5511913169;0.3366062316;0.362636678;520130385.8;355374220.18;"2024-05-19T23:59:59.999Z"
"2024-05-06T00:00:00.000Z";"2024-05-12T23:59:59.999Z";"2024-05-06T08:28:00.000Z";"2024-05-12T22:25:00.000Z";"2781";0.615727775;0.6542088576;0.4033862885;0.4149681312;573157273.48;406611431.56;"2024-05-12T23:59:59.999Z"
"2024-04-29T00:00:00.000Z";"2024-05-05T23:59:59.999Z";"2024-05-04T12:59:00.000Z";"2024-04-30T17:52:00.000Z";"2781";0.4537481769;0.7221132761;0.3199438108;0.6157411431;869097425.71;603396708.49;"2024-05-05T23:59:59.999Z"
"2024-04-22T00:00:00.000Z";"2024-04-28T23:59:59.999Z";"2024-04-26T12:42:00.000Z";"2024-04-22T00:58:00.000Z";"2781";0.2849609896;0.5479418486;0.2724798808;0.4537481769;861557838.91;444661045.97;"2024-04-28T23:59:59.999Z"
"2024-04-15T00:00:00.000Z";"2024-04-21T23:59:59.999Z";"2024-04-21T23:46:00.000Z";"2024-04-17T15:34:00.000Z";"2781";0.1584507008;0.2867971665;0.0965094303;0.2849609896;239291471.15;279254128.43;"2024-04-21T23:59:59.999Z"
"2024-04-08T00:00:00.000Z";"2024-04-14T23:59:59.999Z";"2024-04-08T09:29:00.000Z";"2024-04-13T21:34:00.000Z";"2781";0.2855478004;0.3344122493;0.0910971873;0.1576762551;235149572.65;0;"2024-04-14T23:59:59.999Z"
"2024-04-01T00:00:00.000Z";"2024-04-07T23:59:59.999Z";"2024-04-01T00:01:00.000Z";"2024-04-06T02:16:00.000Z";"2781";0.4068129668;0.4377148025;0.1795659309;0.285340784;385105012.73;0;"2024-04-07T23:59:59.999Z"
"2024-03-25T00:00:00.000Z";"2024-03-31T23:59:59.999Z";"2024-03-31T23:59:00.000Z";"2024-03-26T04:28:00.000Z";"2781";0.2339681611;0.4099950851;0.212444873;0.4099950851;366666617.91;0;"2024-03-31T23:59:59.999Z"
"2024-03-18T00:00:00.000Z";"2024-03-24T23:59:59.999Z";"2024-03-18T00:10:00.000Z";"2024-03-19T09:15:00.000Z";"2781";0.2775285268;0.2846934377;0.1279318434;0.2344599156;173827187.04;0;"2024-03-24T23:59:59.999Z"
"2024-03-11T00:00:00.000Z";"2024-03-17T23:59:59.999Z";"2024-03-15T06:47:00.000Z";"2024-03-16T22:31:00.000Z";"2781";0.1942902358;0.3868070066;0.1503837151;0.2847166847;313454209.57;0;"2024-03-17T23:59:59.999Z"
"2024-03-04T00:00:00.000Z";"2024-03-10T23:59:59.999Z";"2024-03-08T21:40:00.000Z";"2024-03-04T04:58:00.000Z";"2781";0.0738734906;0.2647463184;0.0614045793;0.194323186;272463468.24;0;"2024-03-10T23:59:59.999Z"
"2024-02-26T00:00:00.000Z";"2024-03-03T23:59:59.999Z";"2024-03-03T20:49:00.000Z";"2024-02-26T02:10:00.000Z";"2781";0.00806592723019;0.0914976531;0.00728146311641;0.0740736272;68725517.94;0;"2024-03-03T23:59:59.999Z"
